iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
49,"(14, 7)","(15, 7)",West,"[(15, 7), (13, 7)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 8), (14, 7)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 8), (13, 7)]",50,35,0,35
50,"(13, 7)","(14, 7)",West,"[(14, 7)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 8), (13, 7)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 8)]",51,36,0,36
51,"(15, 8)","(15, 7)",North,"[(15, 9), (15, 7)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 8)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 9)]",52,35,0,35
52,"(15, 9)","(15, 8)",North,"[(15, 10), (15, 8)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 9)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 10)]",53,36,0,36
53,"(15, 10)","(15, 9)",North,"[(15, 11), (15, 9)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 10)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 11)]",54,37,0,37
54,"(15, 11)","(15, 10)",North,"[(15, 12), (15, 10)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 11)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 12)]",55,38,0,38
55,"(15, 12)","(15, 11)",North,"[(15, 13), (15, 11)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 12)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 13)]",56,39,0,39
56,"(15, 13)","(15, 12)",North,"[(15, 12), (16, 13), (14, 13)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (15, 13)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (16, 13), (14, 13)]",57,40,0,40
57,"(14, 13)","(15, 13)",West,"[(15, 13)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (16, 13), (14, 13)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (16, 13)]",58,41,0,41
58,"(16, 13)","(15, 13)",East,"[(17, 13), (15, 13)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (16, 13)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 13)]",59,41,0,41
59,"(17, 13)","(16, 13)",East,"[(17, 12), (18, 13), (16, 13)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 13)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (18, 13)]",60,42,0,42
60,"(18, 13)","(17, 13)",East,"[(19, 13), (17, 13)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (18, 13)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 13)]",61,43,0,43
61,"(19, 13)","(18, 13)",East,"[(19, 12), (20, 13), (18, 13)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 13)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (20, 13)]",62,44,0,44
62,"(20, 13)","(19, 13)",East,"[(21, 13), (19, 13)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (20, 13)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 13)]",63,45,0,45
63,"(21, 13)","(20, 13)",East,"[(21, 14), (21, 12), (20, 13)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 13)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (21, 12)]",64,46,0,46
64,"(21, 12)","(21, 13)",South,"[(21, 13), (21, 11)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (21, 12)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (21, 11)]",65,47,0,47
