iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
79,"(22, 7)","(23, 7)",West,"[(23, 7), (21, 7)]","[(22, 7), (32, 9), (31, 10), (18, 5), (17, 6), (23, 8), (28, 7)]","[(21, 7), (32, 9), (31, 10), (18, 5), (17, 6), (23, 8), (28, 7)]",80,23,27,50
80,"(21, 7)","(22, 7)",West,"[(21, 8), (21, 6), (22, 7)]","[(21, 7), (32, 9), (31, 10), (18, 5), (17, 6), (23, 8), (28, 7)]","[(21, 6), (31, 10), (28, 7), (32, 9), (17, 6), (23, 8), (21, 8), (18, 5)]",81,24,26,50
81,"(21, 6)","(21, 7)",South,"[(21, 7), (21, 5)]","[(21, 6), (31, 10), (28, 7), (32, 9), (17, 6), (23, 8), (21, 8), (18, 5)]","[(21, 5), (31, 10), (28, 7), (32, 9), (17, 6), (23, 8), (21, 8), (18, 5)]",82,25,25,50
82,"(21, 5)","(21, 6)",South,"[(21, 6)]","[(21, 5), (31, 10), (28, 7), (32, 9), (17, 6), (23, 8), (21, 8), (18, 5)]","[(31, 10), (32, 9), (28, 7), (18, 5), (17, 6), (23, 8), (21, 8)]",83,26,24,50
83,"(31, 10)","(31, 9)",North,"[(31, 11), (31, 9)]","[(31, 10), (32, 9), (28, 7), (18, 5), (17, 6), (23, 8), (21, 8)]","[(32, 9), (17, 6), (28, 7), (18, 5), (21, 8), (23, 8), (31, 11)]",84,13,39,52
84,"(32, 9)","(31, 9)",East,"[(33, 9), (31, 9)]","[(32, 9), (17, 6), (28, 7), (18, 5), (21, 8), (23, 8), (31, 11)]","[(28, 7), (17, 6), (23, 8), (18, 5), (21, 8), (31, 11), (33, 9)]",85,13,39,52
85,"(28, 7)","(27, 7)",East,"[(29, 7), (27, 7)]","[(28, 7), (17, 6), (23, 8), (18, 5), (21, 8), (31, 11), (33, 9)]","[(17, 6), (18, 5), (23, 8), (33, 9), (21, 8), (31, 11), (29, 7)]",86,19,33,52
86,"(17, 6)","(17, 5)",North,"[(17, 7), (17, 5)]","[(17, 6), (18, 5), (23, 8), (33, 9), (21, 8), (31, 11), (29, 7)]","[(18, 5), (21, 8), (23, 8), (33, 9), (29, 7), (31, 11), (17, 7)]",87,31,21,52
87,"(18, 5)","(17, 5)",East,"[(19, 5), (17, 5)]","[(18, 5), (21, 8), (23, 8), (33, 9), (29, 7), (31, 11), (17, 7)]","[(23, 8), (21, 8), (31, 11), (33, 9), (29, 7), (17, 7), (19, 5)]",88,31,21,52
88,"(23, 8)","(23, 7)",North,"[(23, 9), (23, 7)]","[(23, 8), (21, 8), (31, 11), (33, 9), (29, 7), (17, 7), (19, 5)]","[(21, 8), (33, 9), (31, 11), (19, 5), (29, 7), (17, 7), (23, 9)]",89,23,29,52
89,"(21, 8)","(21, 7)",North,"[(21, 9), (21, 7)]","[(21, 8), (33, 9), (31, 11), (19, 5), (29, 7), (17, 7), (23, 9)]","[(31, 11), (33, 9), (17, 7), (19, 5), (29, 7), (23, 9), (21, 9)]",90,25,27,52
