iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
102,"(14, 14)","(15, 14)",West,"[(15, 14), (13, 14)]","[(26, 9), (31, 4), (30, 3), (2, 16), (12, 12), (14, 10), (14, 14)]","[(13, 14), (26, 9), (31, 4), (30, 3), (2, 16), (12, 12), (14, 10)]",103,32,0,32
103,"(14, 10)","(14, 11)",South,"[(14, 11), (15, 10)]","[(13, 14), (26, 9), (31, 4), (30, 3), (2, 16), (12, 12), (14, 10)]","[(15, 10), (13, 14), (26, 9), (31, 4), (30, 3), (2, 16), (12, 12)]",104,32,0,32
104,"(12, 12)","(13, 12)",West,"[(12, 13), (12, 11), (13, 12)]","[(15, 10), (13, 14), (26, 9), (31, 4), (30, 3), (2, 16), (12, 12)]","[(12, 11), (12, 13), (15, 10), (13, 14), (26, 9), (31, 4), (30, 3), (2, 16)]",105,32,0,32
105,"(2, 16)","(3, 16)",West,"[(3, 16), (1, 16)]","[(12, 11), (12, 13), (15, 10), (13, 14), (26, 9), (31, 4), (30, 3), (2, 16)]","[(1, 16), (12, 11), (12, 13), (15, 10), (13, 14), (26, 9), (31, 4), (30, 3)]",106,32,0,32
106,"(30, 3)","(30, 4)",South,"[(30, 4), (31, 3)]","[(1, 16), (12, 11), (12, 13), (15, 10), (13, 14), (26, 9), (31, 4), (30, 3)]","[(31, 3), (1, 16), (12, 11), (12, 13), (15, 10), (13, 14), (26, 9), (31, 4)]",107,33,0,33
107,"(31, 4)","(30, 4)",East,"[(31, 3), (32, 4), (30, 4)]","[(31, 3), (1, 16), (12, 11), (12, 13), (15, 10), (13, 14), (26, 9), (31, 4)]","[(32, 4), (31, 3), (31, 3), (1, 16), (12, 11), (12, 13), (15, 10), (13, 14), (26, 9)]",108,33,0,33
108,"(26, 9)","(25, 9)",East,"[(27, 9), (25, 9)]","[(32, 4), (31, 3), (31, 3), (1, 16), (12, 11), (12, 13), (15, 10), (13, 14), (26, 9)]","[(27, 9), (32, 4), (31, 3), (31, 3), (1, 16), (12, 11), (12, 13), (15, 10), (13, 14)]",109,33,0,33
109,"(13, 14)","(14, 14)",West,"[(14, 14), (12, 14)]","[(27, 9), (32, 4), (31, 3), (31, 3), (1, 16), (12, 11), (12, 13), (15, 10), (13, 14)]","[(12, 14), (27, 9), (32, 4), (31, 3), (31, 3), (1, 16), (12, 11), (12, 13), (15, 10)]",110,33,0,33
110,"(15, 10)","(14, 10)",East,"[(16, 10), (14, 10)]","[(12, 14), (27, 9), (32, 4), (31, 3), (31, 3), (1, 16), (12, 11), (12, 13), (15, 10)]","[(16, 10), (12, 14), (27, 9), (32, 4), (31, 3), (31, 3), (1, 16), (12, 11), (12, 13)]",111,33,0,33
111,"(12, 13)","(12, 12)",North,"[(12, 14), (12, 12)]","[(16, 10), (12, 14), (27, 9), (32, 4), (31, 3), (31, 3), (1, 16), (12, 11), (12, 13)]","[(12, 14), (16, 10), (12, 14), (27, 9), (32, 4), (31, 3), (31, 3), (1, 16), (12, 11)]",112,33,0,33
112,"(12, 11)","(12, 12)",South,"[(12, 12), (12, 10)]","[(12, 14), (16, 10), (12, 14), (27, 9), (32, 4), (31, 3), (31, 3), (1, 16), (12, 11)]","[(12, 10), (12, 14), (16, 10), (12, 14), (27, 9), (32, 4), (31, 3), (31, 3), (1, 16)]",113,33,0,33
113,"(1, 16)","(2, 16)",West,"[(1, 15), (2, 16)]","[(12, 10), (12, 14), (16, 10), (12, 14), (27, 9), (32, 4), (31, 3), (31, 3), (1, 16)]","[(1, 15), (12, 10), (12, 14), (16, 10), (12, 14), (27, 9), (32, 4), (31, 3), (31, 3)]",114,33,0,33
114,"(31, 3)","(30, 3)",East,"[(31, 4), (30, 3)]","[(1, 15), (12, 10), (12, 14), (16, 10), (12, 14), (27, 9), (32, 4), (31, 3), (31, 3)]","[(1, 15), (12, 10), (12, 14), (16, 10), (12, 14), (27, 9), (32, 4), (31, 3)]",115,34,0,34
115,"(32, 4)","(31, 4)",East,"[(33, 4), (31, 4)]","[(1, 15), (12, 10), (12, 14), (16, 10), (12, 14), (27, 9), (32, 4)]","[(33, 4), (1, 15), (12, 10), (12, 14), (16, 10), (12, 14), (27, 9)]",116,34,0,34
116,"(27, 9)","(26, 9)",East,"[(27, 8), (26, 9)]","[(33, 4), (1, 15), (12, 10), (12, 14), (16, 10), (12, 14), (27, 9)]","[(27, 8), (33, 4), (1, 15), (12, 10), (12, 14), (16, 10), (12, 14)]",117,34,0,34
117,"(12, 14)","(13, 14)",West,"[(12, 13), (13, 14)]","[(27, 8), (33, 4), (1, 15), (12, 10), (12, 14), (16, 10), (12, 14)]","[(27, 8), (33, 4), (1, 15), (12, 10), (12, 14), (16, 10)]",118,34,0,34
118,"(16, 10)","(15, 10)",East,"[(17, 10), (15, 10)]","[(27, 8), (33, 4), (1, 15), (12, 10), (12, 14), (16, 10)]","[(17, 10), (27, 8), (33, 4), (1, 15), (12, 10), (12, 14)]",119,34,0,34
119,"(12, 10)","(12, 11)",South,"[(12, 11), (11, 10)]","[(17, 10), (27, 8), (33, 4), (1, 15), (12, 10)]","[(11, 10), (17, 10), (27, 8), (33, 4), (1, 15)]",120,34,0,34
120,"(1, 15)","(1, 16)",South,"[(1, 16), (1, 14)]","[(11, 10), (17, 10), (27, 8), (33, 4), (1, 15)]","[(1, 14), (11, 10), (17, 10), (27, 8), (33, 4)]",121,34,0,34
121,"(33, 4)","(32, 4)",East,"[(34, 4), (32, 4)]","[(1, 14), (11, 10), (17, 10), (27, 8), (33, 4)]","[(34, 4), (1, 14), (11, 10), (17, 10), (27, 8)]",122,35,0,35
122,"(27, 8)","(27, 9)",South,"[(27, 9), (27, 7)]","[(34, 4), (1, 14), (11, 10), (17, 10), (27, 8)]","[(27, 7), (34, 4), (1, 14), (11, 10), (17, 10)]",123,35,0,35
